time,AdrActCnt,TxCnt,HashRate,BlkCnt
2009-08-21T00:00:00.000000000Z,14,0,0.000000695943774814815,14
2009-08-22T00:00:00.000000000Z,7,0,0.000000347971887407407,7
2009-08-23T00:00:00.000000000Z,15,0,0.000000745654044444444,15
2009-08-24T00:00:00.000000000Z,15,0,0.000000745654044444444,15
2009-08-25T00:00:00.000000000Z,50,0,0.00000248551348148148,50
2009-08-26T00:00:00.000000000Z,96,3,0.00000238609294222222,48
2009-08-27T00:00:00.000000000Z,29,0,0.00000144159781925926,29
2009-08-28T00:00:00.000000000Z,75,0,0.00000372827022222222,75
2009-08-29T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-08-30T00:00:00.000000000Z,99,1,0.00000482189615407407,97
2009-08-31T00:00:00.000000000Z,93,1,0.00000427508318814815,86
2009-09-01T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-09-02T00:00:00.000000000Z,66,0,0.00000328087779555556,66
2009-09-03T00:00:00.000000000Z,76,1,0.00000303232644740741,61
2009-09-04T00:00:00.000000000Z,64,0,0.0000031814572562963,64
2009-09-05T00:00:00.000000000Z,76,0,0.00000377798049185185,76
2009-09-06T00:00:00.000000000Z,68,0,0.00000338029833481481,68
2009-09-07T00:00:00.000000000Z,92,1,0.00000387740103111111,78
2009-09-08T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-09-09T00:00:00.000000000Z,54,0,0.00000268435456,54
2009-09-10T00:00:00.000000000Z,67,0,0.00000333058806518519,67
2009-09-11T00:00:00.000000000Z,67,0,0.00000333058806518519,67
2009-09-12T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-09-13T00:00:00.000000000Z,75,0,0.00000372827022222222,75
2009-09-14T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-09-15T00:00:00.000000000Z,44,0,0.0000021872518637037,44
2009-09-16T00:00:00.000000000Z,74,1,0.00000357913941333333,72
2009-09-17T00:00:00.000000000Z,186,1,0.00000417566264888889,84
2009-09-18T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-09-19T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-09-20T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-09-21T00:00:00.000000000Z,78,1,0.00000343000860444444,69
2009-09-22T00:00:00.000000000Z,66,1,0.00000124275674074074,25
2009-09-23T00:00:00.000000000Z,36,0,0.00000178956970666667,36
2009-09-24T00:00:00.000000000Z,97,0,0.00000482189615407407,97
2009-09-25T00:00:00.000000000Z,119,2,0.0000045236345362963,91
2009-09-26T00:00:00.000000000Z,117,1,0.00000497102696296296,100
2009-09-27T00:00:00.000000000Z,87,0,0.00000432479345777778,87
2009-09-28T00:00:00.000000000Z,85,0,0.00000422537291851852,85
2009-09-29T00:00:00.000000000Z,133,2,0.00000437450372740741,88
2009-09-30T00:00:00.000000000Z,85,0,0.00000422537291851852,85
2009-10-01T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-10-02T00:00:00.000000000Z,83,1,0.00000357913941333333,72
2009-10-03T00:00:00.000000000Z,58,0,0.00000288319563851852,58
2009-10-04T00:00:00.000000000Z,53,0,0.00000263464429037037,53
2009-10-05T00:00:00.000000000Z,55,0,0.00000273406482962963,55
2009-10-06T00:00:00.000000000Z,58,2,0.00000213754159407407,43
2009-10-07T00:00:00.000000000Z,60,0,0.00000298261617777778,60
2009-10-08T00:00:00.000000000Z,70,0,0.00000347971887407407,70
2009-10-09T00:00:00.000000000Z,79,0,0.00000392711130074074,79
2009-10-10T00:00:00.000000000Z,77,0,0.00000382769076148148,77
2009-10-11T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-10-12T00:00:00.000000000Z,132,1,0.00000288319563851852,58
2009-10-13T00:00:00.000000000Z,57,0,0.00000283348536888889,57
2009-10-14T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-10-15T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-10-16T00:00:00.000000000Z,141,1,0.00000298261617777778,60
2009-10-17T00:00:00.000000000Z,57,0,0.00000283348536888889,57
2009-10-18T00:00:00.000000000Z,82,1,0.00000367855995259259,74
2009-10-19T00:00:00.000000000Z,112,0,0.00000556755019851852,112
2009-10-20T00:00:00.000000000Z,197,1,0.00000472247561481481,95
2009-10-21T00:00:00.000000000Z,99,1,0.00000397682157037037,80
2009-10-22T00:00:00.000000000Z,130,1,0.00000447392426666667,90
2009-10-23T00:00:00.000000000Z,89,0,0.00000442421399703704,89
2009-10-24T00:00:00.000000000Z,70,1,0.00000308203671703704,62
2009-10-25T00:00:00.000000000Z,76,0,0.00000377798049185185,76
2009-10-26T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-10-27T00:00:00.000000000Z,81,1,0.0000031814572562963,64
2009-10-28T00:00:00.000000000Z,66,0,0.00000328087779555556,66
2009-10-29T00:00:00.000000000Z,89,2,0.00000228667240296296,46
2009-10-30T00:00:00.000000000Z,60,0,0.00000298261617777778,60
2009-10-31T00:00:00.000000000Z,46,0,0.00000228667240296296,46
2009-11-01T00:00:00.000000000Z,25,0,0.00000124275674074074,25
2009-11-02T00:00:00.000000000Z,33,0,0.00000164043889777778,33
2009-11-03T00:00:00.000000000Z,62,0,0.00000308203671703704,62
2009-11-04T00:00:00.000000000Z,105,1,0.00000313174698666667,63
2009-11-05T00:00:00.000000000Z,57,0,0.00000283348536888889,57
2009-11-06T00:00:00.000000000Z,62,0,0.00000308203671703704,62
2009-11-07T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-11-08T00:00:00.000000000Z,73,0,0.00000362884968296296,73
2009-11-09T00:00:00.000000000Z,64,0,0.0000031814572562963,64
2009-11-10T00:00:00.000000000Z,120,3,0.00000387740103111111,78
2009-11-11T00:00:00.000000000Z,76,6,0.0000031814572562963,64
2009-11-12T00:00:00.000000000Z,68,2,0.00000328087779555556,66
2009-11-13T00:00:00.000000000Z,91,1,0.00000397682157037037,80
2009-11-14T00:00:00.000000000Z,79,0,0.00000392711130074074,79
2009-11-15T00:00:00.000000000Z,96,0,0.00000477218588444444,96
2009-11-16T00:00:00.000000000Z,97,0,0.00000482189615407407,97
2009-11-17T00:00:00.000000000Z,92,0,0.00000457334480592593,92
2009-11-18T00:00:00.000000000Z,79,0,0.00000392711130074074,79
2009-11-19T00:00:00.000000000Z,153,2,0.00000347971887407407,70
2009-11-20T00:00:00.000000000Z,86,0,0.00000427508318814815,86
2009-11-21T00:00:00.000000000Z,73,0,0.00000362884968296296,73
2009-11-22T00:00:00.000000000Z,106,0,0.00000526928858074074,106
2009-11-23T00:00:00.000000000Z,96,0,0.00000477218588444444,96
2009-11-24T00:00:00.000000000Z,93,0,0.00000462305507555556,93
2009-11-25T00:00:00.000000000Z,90,0,0.00000447392426666667,90
2009-11-26T00:00:00.000000000Z,84,0,0.00000417566264888889,84
2009-11-27T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-11-28T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-11-29T00:00:00.000000000Z,60,0,0.00000298261617777778,60
2009-11-30T00:00:00.000000000Z,75,0,0.00000372827022222222,75
2009-12-01T00:00:00.000000000Z,240,1,0.00000362884968296296,73
2009-12-02T00:00:00.000000000Z,94,0,0.00000467276534518519,94
2009-12-03T00:00:00.000000000Z,88,0,0.00000437450372740741,88
2009-12-04T00:00:00.000000000Z,36,0,0.00000178956970666667,36
2009-12-05T00:00:00.000000000Z,84,1,0.0000031814572562963,64
2009-12-06T00:00:00.000000000Z,107,2,0.00000512015777185185,103
2009-12-07T00:00:00.000000000Z,133,1,0.00000556755019851852,112
2009-12-08T00:00:00.000000000Z,116,1,0.00000521957831111111,105
2009-12-09T00:00:00.000000000Z,119,13,0.00000477218588444444,96
2009-12-10T00:00:00.000000000Z,104,0,0.00000516986804148148,104
2009-12-11T00:00:00.000000000Z,180,2,0.00000556755019851852,112
2009-12-12T00:00:00.000000000Z,110,0,0.00000546812965925926,110
2009-12-13T00:00:00.000000000Z,114,0,0.00000566697073777778,114
2009-12-14T00:00:00.000000000Z,437,5,0.00000507044750222222,102
2009-12-15T00:00:00.000000000Z,137,3,0.00000546812965925926,110
2009-12-16T00:00:00.000000000Z,136,0,0.00000676059666962963,136
2009-12-17T00:00:00.000000000Z,179,3,0.00000840103556740741,169
2009-12-18T00:00:00.000000000Z,225,0,0.0000111848106666667,225
2009-12-19T00:00:00.000000000Z,200,1,0.00000984263338666667,198
2009-12-20T00:00:00.000000000Z,177,1,0.00000869929718518518,175
