date,rc_real_gold_252d,rc_dollar_gold_252d
2024-04-01,-0.45689693341686527,-0.33936911454559304
2024-04-02,-0.44779935212384325,-0.33372531607734496
2024-04-03,-0.44545172887061124,-0.33412788340823824
2024-04-04,-0.4433582419529436,-0.3300476455817561
2024-04-05,-0.43063120894673806,-0.32049717302431574
2024-04-08,-0.42844262202768046,-0.3212021607635783
2024-04-09,-0.43066672289069236,-0.3196522944652971
2024-04-10,-0.43710041517469245,-0.32770993277623306
2024-04-11,-0.42915593575068384,-0.3265557156822798
2024-04-12,-0.4177597752811037,-0.3394977584883607
2024-04-15,-0.39820989920901967,-0.3323086190907519
2024-04-16,-0.3977562158803492,-0.32991113309353753
2024-04-17,-0.39115551687394307,-0.3266729417103278
2024-04-18,-0.37701570983921645,-0.33503162225531247
2024-04-19,-0.3745589648994849,-0.33074835740320374
2024-04-22,-0.36533880071017244,-0.3205174490245533
2024-04-23,-0.36176465933115626,-0.33495378807032555
2024-04-24,-0.36325683698969025,-0.335305201701909
2024-04-25,-0.36171575680061696,-0.33852735278626467
2024-04-26,-0.36355930744345355,-0.3391802995259586
2024-04-29,-0.3669888468938105,-0.33273775559085156
2024-04-30,-0.3709955059540469,-0.33904549595091477
2024-05-01,-0.37300531515726415,-0.3377655314612512
2024-05-02,-0.36911719694181044,-0.33478694597777464
2024-05-03,-0.36775137173339617,-0.33227829042947826
2024-05-06,-0.36264414580480053,-0.3282509924059912
2024-05-07,-0.36715728256857755,-0.32635226024030023
2024-05-08,-0.36720225420839847,-0.32587820774852116
2024-05-09,-0.36996863940558594,-0.324574188526201
2024-05-10,-0.3655752491230937,-0.3245781657313145
2024-05-13,-0.35654031424804045,-0.3194649912286955
2024-05-14,-0.3576552079800702,-0.3192546319545891
2024-05-15,-0.3626409548073123,-0.32600166243428447
2024-05-16,-0.3606978500449417,-0.32451424279301067
2024-05-17,-0.3536600726065539,-0.32292741356440585
2024-05-20,-0.3531304142682406,-0.31822734984512085
2024-05-21,-0.34790005070422714,-0.3223637935988106
2024-05-22,-0.34463097900994805,-0.3229371568748566
2024-05-23,-0.35130756306158306,-0.32392644428686357
2024-05-24,-0.3454346237262153,-0.3278926789488902
2024-05-27,-0.3418861484838441,-0.32465400206360745
2024-05-28,-0.33473340905341187,-0.32713598273440236
2024-05-29,-0.3373600702970315,-0.333510303984342
2024-05-30,-0.33353797349940334,-0.34084330994622597
2024-05-31,-0.3310839773932595,-0.34255053524032586
2024-06-03,-0.3316642012124301,-0.3373070109103002
2024-06-04,-0.3240628642432551,-0.3411738144542196
2024-06-05,-0.3257331517461913,-0.34285824200026993
2024-06-06,-0.3294667210480977,-0.33847349016508316
2024-06-07,-0.35305197637427194,-0.3757091135812328
2024-06-10,-0.34753412453615146,-0.3716151838346749
2024-06-11,-0.3475803677475929,-0.37314405846289855
2024-06-12,-0.3479402242352969,-0.3733323147495859
2024-06-13,-0.34083680773960323,-0.3763270325038733
2024-06-14,-0.3410845235262959,-0.37200960890384593
2024-06-17,-0.34308128773907803,-0.37177693597426636
