date,e_level,z_level
2023-03-27,9.527551925129124e+144,7.027879040663626
2023-03-28,5.499239704022732e+145,6.9799237786481445
2023-03-29,3.1288187368342287e+146,6.92065592118347
2023-03-30,1.7891626287649958e+147,6.941421060316929
2023-03-31,9.768653958456757e+147,6.752705199265671
2023-04-03,5.379938244191112e+148,6.787745261407505
2023-04-04,3.047951887725404e+149,6.903189924347204
2023-04-05,1.6942742470863465e+150,6.825489203531496
2023-04-06,9.16487893000023e+150,6.7151502916137265
2023-04-07,5.207805252370396e+151,6.915453924733333
2023-04-10,2.908177575927244e+152,6.844170616848233
2023-04-11,1.6498798819097374e+153,6.908866228066043
2023-04-12,9.445209965014137e+153,6.946068264559832
2023-04-13,5.654185831172083e+154,7.131829903657197
2023-04-14,3.347142871856632e+155,7.0850271635902695
2023-04-17,2.035178091979262e+156,7.197460838021275
2023-04-18,1.263697442898158e+157,7.2864751718268055
2023-04-19,7.846908551263774e+157,7.286620343714912
2023-04-20,4.804820775134098e+158,7.227172480296394
2023-04-21,2.8821994240875945e+159,7.140418484394125
2023-04-24,1.6913121161770494e+160,7.048496356371239
2023-04-25,9.581580639600652e+160,6.90302535110296
2023-04-26,5.424186006377177e+161,6.900040238848206
2023-04-27,3.2251483424035326e+162,7.1034259691849755
2023-04-28,1.915278694531427e+163,7.098292403619781
2023-05-01,1.1933343655202094e+164,7.301098747691365
2023-05-02,7.329237798395679e+164,7.240037342238172
2023-05-03,4.430455646652598e+165,7.172800289212194
2023-05-04,2.729982766413697e+166,7.253864858432108
2023-05-05,1.6484189693038386e+167,7.168125863780844
2023-05-08,1.0346389839940808e+168,7.332498546293175
2023-05-09,6.6772860077233796e+168,7.452338678686201
2023-05-10,4.184885126255982e+169,7.326216232941785
2023-05-11,2.5259382421195423e+170,7.1664917513169115
2023-05-12,1.5673996755121925e+171,7.28369255675625
2023-05-15,9.936623285543198e+171,7.3753368473185095
2023-05-16,6.224296717799933e+172,7.323930546866707
2023-05-17,3.8770689437195247e+173,7.299949950934702
2023-05-18,2.4355832478466797e+174,7.336226564282324
2023-05-19,1.6042407772704023e+175,7.541007973438241
2023-05-22,1.0649399767389518e+176,7.575143686614521
2023-05-23,6.948477296167501e+176,7.499839706277135
2023-05-24,4.542173708726352e+177,7.507951746435803
2023-05-25,3.0701748679755576e+178,7.65458257404675
2023-05-26,2.082078108125796e+179,7.669176682229046
2023-05-29,1.4119877318894157e+180,7.669176682229046
2023-05-30,9.196950177432874e+180,7.492314327134606
2023-05-31,6.0046310141714095e+181,7.502624340980802
2023-06-01,3.9498140731140406e+182,7.535214901638134
2023-06-02,2.579424214450532e+183,7.503662622836578
2023-06-05,1.7028693328892335e+184,7.550988055007781
2023-06-06,1.1272387984608779e+185,7.562832500682542
2023-06-07,7.545009498721784e+185,7.611409228986457
2023-06-08,5.075444975644672e+186,7.633406911269224
2023-06-09,3.4232007207026906e+187,7.645019114523636
2023-06-12,2.3206782955682023e+188,7.667636175084363
2023-06-13,1.6059004112368955e+189,7.758840989825766
2023-06-14,1.096403761503531e+190,7.698925844911511
2023-06-15,7.155933082926007e+190,7.501154315038995
2023-06-16,4.751581531104948e+191,7.5763174711111185
2023-06-19,3.1550780010237125e+192,7.5763174711111185
2023-06-20,2.0108742843836888e+193,7.398279173698837
2023-06-21,1.2665420905843445e+194,7.347424585656431
2023-06-22,7.98728219794588e+194,7.3528017327792154
2023-06-23,5.007739464311525e+195,7.3277836605448305
2023-06-26,3.1710063815434265e+196,7.370353572659181
2023-06-27,2.013388220474325e+197,7.38198256720153
2023-06-28,1.2462786439358327e+198,7.273209034112599
2023-06-29,8.255101995390852e+198,7.565580754024758
2023-06-30,5.373846586400038e+199,7.489811525195932
2023-07-03,3.5442690207002746e+200,7.546790161463459
2023-07-04,2.3375886693317224e+201,7.546790161463459
2023-07-05,1.599307341780516e+202,7.708240404605917
2023-07-06,1.1457978211584327e+203,7.914757043460694
2023-07-07,8.36245201207865e+203,7.998978767326707
2023-07-10,6.010056585643943e+204,7.929032063815798
2023-07-11,4.329987476545306e+205,7.940132386374639
2023-07-12,2.946668845689728e+206,7.684568635202375
2023-07-13,1.9120491288784074e+207,7.475860961351071
2023-07-14,1.2780461907165394e+208,7.605373266163093
2023-07-17,8.42181886719747e+208,7.542946673025023
2023-07-18,5.7518264229636984e+209,7.70043663833282
2023-07-19,3.8543947738721735e+210,7.616539049013835
2023-07-20,2.510071012638827e+211,7.491482668884576
2023-07-21,1.6168876594293741e+212,7.444193212592929
2023-07-24,1.0219726038431444e+213,7.362483288498224
2023-07-25,6.714772699368517e+213,7.530208376373542
2023-07-26,4.416830339937757e+214,7.535105087966933
2023-07-27,3.014542784651767e+215,7.697484630414066
2023-07-28,2.030818973434991e+216,7.639855753695803
2023-07-31,1.394136197713855e+217,7.723274213561372
2023-08-01,9.796345548971159e+217,7.827401246434327
2023-08-02,6.98302673181862e+218,7.891891793580974
2023-08-03,5.291450781308672e+219,8.171651718543549
2023-08-04,3.69124124174365e+220,7.794779404110091
2023-08-07,2.5796139135447254e+221,7.8028666734190555
2023-08-08,1.7615114325502907e+222,7.699730879696801
2023-08-09,1.185565025250214e+223,7.635695825225837
2023-08-10,8.387273046869948e+223,7.857795064915733
2023-08-11,6.090733333781914e+224,7.976136647465054
2023-08-14,4.4775623824505107e+225,8.0320818922136
2023-08-15,3.380454736907983e+226,8.154609620306832
2023-08-16,2.613072580650534e+227,8.264347523379843
2023-08-17,2.0255766039428914e+228,8.27750223831717
2023-08-18,1.5447786029278266e+229,8.201441799558813
2023-08-21,1.2249560271332625e+230,8.384303362297926
2023-08-22,9.694303671170989e+230,8.374963501594763
2023-08-23,7.250793996107696e+231,8.11137328664539
2023-08-24,5.636280483357196e+232,8.29055406333375
2023-08-25,4.400475717453603e+233,8.311083449288247
2023-08-28,3.418707038188842e+234,8.287912139397891
2023-08-29,2.62281085185084e+235,8.229178588290793
2023-08-30,2.0491590699667823e+236,8.31434655791681
2023-08-31,1.5917002557374885e+237,8.287085028968075
2023-09-01,1.2900894633480788e+238,8.488287855997804
2023-09-04,1.04563080733476e+239,8.488287855997804
2023-09-05,8.613188560550559e+239,8.565811872911045
2023-09-06,7.113174642776497e+240,8.5781516085025
2023-09-07,5.743770223872533e+241,8.470439001992661
2023-09-08,4.5935991695593045e+242,8.42468572867834
2023-09-11,3.691268948371471e+243,8.447294975316844
2023-09-12,2.911085608622339e+244,8.358474050734742
2023-09-13,2.2418076130014586e+245,8.246777133778206
2023-09-14,1.777672910371291e+246,8.38429531654134
2023-09-15,1.4553043162020972e+247,8.536140631059936
2023-09-18,1.196553979115802e+248,8.556879709402342
2023-09-19,1.001633871593222e+249,8.643487584390849
2023-09-20,8.38581101804011e+249,8.644149483519273
2023-09-21,7.327375574078957e+250,8.853149600513355
2023-09-22,6.322805352856721e+251,8.79148320860698
2023-09-25,5.719663291039552e+252,9.02556631088805
2023-09-26,5.2174518182708536e+253,9.06750033279061
2023-09-27,4.731138651200459e+254,9.037649348119286
2023-09-28,4.07776867107e+255,8.785784293741104
2023-09-29,3.490344334462245e+256,8.751826460008393
2023-10-02,3.080491677881831e+257,8.90266979175277
2023-10-03,2.867337127397378e+258,9.16954209926748
2023-10-04,2.599552591067172e+259,9.036640040299577
2023-10-05,2.363721961514753e+260,9.051410390829588
2023-10-06,2.231043937371384e+261,9.240503355012944
2023-10-09,2.1971448293130976e+262,9.459417102557229
2023-10-10,2.0171712414869152e+263,9.099931413463729
2023-10-11,1.809181569888436e+264,8.982707965396807
2023-10-12,1.6979268652839366e+265,9.211435861612712
2023-10-13,1.6637581245211853e+266,9.433324970203035
2023-10-16,1.639593321281703e+267,9.462958160415575
2023-10-17,1.690421956250301e+268,9.700519354706634
2023-10-18,1.8508835267296182e+269,10.024589639419398
2023-10-19,2.099837337638408e+270,10.220104648010592
2023-10-20,2.361315347726943e+271,10.171150296165871
